,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Genre,Vote Average
142,Hangar 1: The UFO Files,TV Show,US,Unknown,"Nik Petcov, Cornell Womack",2015,TV-PG,2 Seasons, Unscripted,7.929
143,Annedroids,TV Show,CA,Unknown,"Addison Holley, Jadiel Dowlin, Adrianna Di Liello",2017,ALL,4 Seasons,Kids,7.9
144,Armed Girl's Machiavellism,TV Show,JP,Unknown,Unknown,2017,TV-14,1 Season,Action,7.9
145,Armed Girl's Machiavellism,TV Show,JP,Unknown,Unknown,2017,TV-14,1 Season, Adventure,7.9
146,Armed Girl's Machiavellism,TV Show,JP,Unknown,Unknown,2017,TV-14,1 Season, Anime,7.9
147,The Adventures of Tintin,TV Show,CA,Unknown,Unknown,2019,7+,3 Seasons,Action,7.884
148,The Adventures of Tintin,TV Show,CA,Unknown,Unknown,2019,7+,3 Seasons, Animation,7.884
149,The Adventures of Tintin,TV Show,CA,Unknown,Unknown,2019,7+,3 Seasons, Kids,7.884
150,Pinkfong! Time Songs,TV Show,GB,Unknown,Unknown,2017,ALL,1 Season,Animation,7.867
151,Pinkfong! Time Songs,TV Show,GB,Unknown,Unknown,2017,ALL,1 Season, Kids,7.867
152,Dark Shadows: The Beginning,TV Show,US,Unknown,"Joan Bennett, Mitchell Ryan, Louis Edmonds, Nancy Barrett, Joel Crothers, Alexandra Isles, Kathryn Leigh Scott, Dana Elcar, David Henesy, Thayer David, Conard Fowkes, Hugh Franklin, Clarice Blackburn, John Karlen",1967,TV-PG,6 Seasons,Drama,7.865
153,Dark Shadows: The Beginning,TV Show,US,Unknown,"Joan Bennett, Mitchell Ryan, Louis Edmonds, Nancy Barrett, Joel Crothers, Alexandra Isles, Kathryn Leigh Scott, Dana Elcar, David Henesy, Thayer David, Conard Fowkes, Hugh Franklin, Clarice Blackburn, John Karlen",1967,TV-PG,6 Seasons, Science Fiction,7.865
154,Junichi,TV Show,JP,Unknown,"Jun Shison, Mina Fujii, Mieko Harada",2019,13+,1 Season,Drama,7.861
155,Junichi,TV Show,JP,Unknown,"Jun Shison, Mina Fujii, Mieko Harada",2019,13+,1 Season, Romance,7.861
156,S.O.Z: Soldiers or Zombies,TV Show,ES,Unknown,"Sergio Peris-Mencheta, Horacio García-Rojas, Toby Schmitz, Fátima Molina, Steve Wilcox, James Moses Black",2021,16+,1 Season,Suspense,7.861
157,El Cid,TV Show,ES,Unknown,Unknown,2021,16+,2 Seasons,Drama,7.857
158,Heroes Never Die The Miniseries,TV Show,US,Unknown,"Vyacheslav Dovzhenko, Roman Yasinovskiy, Andrey Isaenko, Viktor Zhdanov, Makar Tikhomirov",2017,TV-14,1 Season,Action,7.857
