,Title,Type,Release Year,Rating,Seasons,Genres,Vote Average
130,Tsukimichi -Moonlit Fantasy-,SHOW,2021,TV-14,1.0,"['animation', 'scifi', 'action', 'comedy']",8.461
131,Friends,SHOW,1994,TV-14,10.0,"['comedy', 'drama', 'romance']",8.456
132,Friends,SHOW,1994,TV-14,10.0,"['comedy', 'drama', 'romance']",8.456
133,Friends,SHOW,1994,TV-14,10.0,"['comedy', 'drama', 'romance']",8.456
134,Samurai Jack,SHOW,2001,TV-14,5.0,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",8.454
135,Samurai Jack,SHOW,2001,TV-14,5.0,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",8.454
136,Samurai Jack,SHOW,2001,TV-14,5.0,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",8.454
137,Samurai Jack,SHOW,2001,TV-14,5.0,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",8.454
138,Samurai Jack,SHOW,2001,TV-14,5.0,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",8.454
139,Samurai Jack,SHOW,2001,TV-14,5.0,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",8.454
140,Band of Brothers,SHOW,2001,TV-MA,1.0,"['drama', 'war', 'history', 'action']",8.454
141,Band of Brothers,SHOW,2001,TV-MA,1.0,"['drama', 'war', 'history', 'action']",8.454
142,Band of Brothers,SHOW,2001,TV-MA,1.0,"['drama', 'war', 'history', 'action']",8.454
143,Band of Brothers,SHOW,2001,TV-MA,1.0,"['drama', 'war', 'history', 'action']",8.454
144,Adventure Time,SHOW,2010,TV-PG,10.0,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",8.453
145,Adventure Time,SHOW,2010,TV-PG,10.0,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",8.453
146,Adventure Time,SHOW,2010,TV-PG,10.0,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",8.453
147,Adventure Time,SHOW,2010,TV-PG,10.0,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",8.453
148,Adventure Time,SHOW,2010,TV-PG,10.0,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",8.453
149,Adventure Time,SHOW,2010,TV-PG,10.0,"['animation', 'comedy', 'scifi', 'family', 'fantasy', 'action']",8.453
150,Harley Quinn,SHOW,2019,TV-MA,4.0,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",8.437
151,Harley Quinn,SHOW,2019,TV-MA,4.0,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",8.437
152,Harley Quinn,SHOW,2019,TV-MA,4.0,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",8.437
153,Harley Quinn,SHOW,2019,TV-MA,4.0,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",8.437
154,Harley Quinn,SHOW,2019,TV-MA,4.0,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",8.437
155,Harley Quinn,SHOW,2019,TV-MA,4.0,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",8.437
156,Shadows,SHOW,2014,TV-MA,3.0,"['drama', 'thriller', 'crime', 'european']",8.424
157,Shadows,SHOW,2014,TV-MA,3.0,"['drama', 'thriller', 'crime', 'european']",8.424
158,Shadows,SHOW,2014,TV-MA,3.0,"['drama', 'thriller', 'crime', 'european']",8.424
159,Shadows,SHOW,2014,TV-MA,3.0,"['drama', 'thriller', 'crime', 'european']",8.424
160,Veneno,SHOW,2020,TV-MA,1.0,['drama'],8.412
161,"Be Cool, Scooby-Doo!",SHOW,2015,TV-Y7,2.0,"['animation', 'thriller', 'family', 'comedy']",8.406
162,"Be Cool, Scooby-Doo!",SHOW,2015,TV-Y7,2.0,"['animation', 'thriller', 'family', 'comedy']",8.406
163,"Be Cool, Scooby-Doo!",SHOW,2015,TV-Y7,2.0,"['animation', 'thriller', 'family', 'comedy']",8.406
164,"Be Cool, Scooby-Doo!",SHOW,2015,TV-Y7,2.0,"['animation', 'thriller', 'family', 'comedy']",8.406
165,Game of Thrones,SHOW,2011,TV-MA,8.0,"['scifi', 'drama', 'action', 'romance', 'fantasy']",8.4
166,Game of Thrones,SHOW,2011,TV-MA,8.0,"['scifi', 'drama', 'action', 'romance', 'fantasy']",8.4
167,Game of Thrones,SHOW,2011,TV-MA,8.0,"['scifi', 'drama', 'action', 'romance', 'fantasy']",8.4
168,Game of Thrones,SHOW,2011,TV-MA,8.0,"['scifi', 'drama', 'action', 'romance', 'fantasy']",8.4
169,Game of Thrones,SHOW,2011,TV-MA,8.0,"['scifi', 'drama', 'action', 'romance', 'fantasy']",8.4
170,Batwheels,SHOW,2022,TV-Y7,2.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",8.4
171,Batwheels,SHOW,2022,TV-Y7,2.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",8.4
172,Batwheels,SHOW,2022,TV-Y7,2.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",8.4
173,Batwheels,SHOW,2022,TV-Y7,2.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",8.4
174,Batwheels,SHOW,2022,TV-Y7,2.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",8.4
175,Batwheels,SHOW,2022,TV-Y7,2.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",8.4
176,Craig of the Creek,SHOW,2018,Unknown,4.0,"['action', 'animation', 'comedy', 'drama', 'family']",8.4
177,Craig of the Creek,SHOW,2018,Unknown,4.0,"['action', 'animation', 'comedy', 'drama', 'family']",8.4
178,Craig of the Creek,SHOW,2018,Unknown,4.0,"['action', 'animation', 'comedy', 'drama', 'family']",8.4
179,Craig of the Creek,SHOW,2018,Unknown,4.0,"['action', 'animation', 'comedy', 'drama', 'family']",8.4
180,Craig of the Creek,SHOW,2018,Unknown,4.0,"['action', 'animation', 'comedy', 'drama', 'family']",8.4
181,Joe Pera Talks With You,SHOW,2018,TV-14,3.0,['comedy'],8.4
182,The Mentalist,SHOW,2008,TV-14,7.0,"['drama', 'crime', 'thriller']",8.393
183,The Mentalist,SHOW,2008,TV-14,7.0,"['drama', 'crime', 'thriller']",8.393
184,The Mentalist,SHOW,2008,TV-14,7.0,"['drama', 'crime', 'thriller']",8.393
185,My Brilliant Friend,SHOW,2018,TV-MA,3.0,"['drama', 'romance', 'family', 'european']",8.388
186,My Brilliant Friend,SHOW,2018,TV-MA,3.0,"['drama', 'romance', 'family', 'european']",8.388
187,My Brilliant Friend,SHOW,2018,TV-MA,3.0,"['drama', 'romance', 'family', 'european']",8.388
188,My Brilliant Friend,SHOW,2018,TV-MA,3.0,"['drama', 'romance', 'family', 'european']",8.388
189,Euphoria,SHOW,2019,TV-MA,2.0,"['crime', 'drama']",8.386
190,Euphoria,SHOW,2019,TV-MA,2.0,"['crime', 'drama']",8.386
191,Gossip Girl,SHOW,2007,TV-14,6.0,"['drama', 'thriller', 'romance']",8.346
192,Gossip Girl,SHOW,2021,TV-MA,2.0,"['drama', 'romance']",7.573
193,Gossip Girl,SHOW,2007,TV-14,6.0,"['drama', 'thriller', 'romance']",8.346
194,Gossip Girl,SHOW,2021,TV-MA,2.0,"['drama', 'romance']",7.573
195,Gossip Girl,SHOW,2007,TV-14,6.0,"['drama', 'thriller', 'romance']",8.346
196,Gossip Girl,SHOW,2021,TV-MA,2.0,"['drama', 'romance']",7.573
197,The Vampire Diaries,SHOW,2009,TV-14,8.0,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8.344
198,The Vampire Diaries,SHOW,2009,TV-14,8.0,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8.344
199,The Vampire Diaries,SHOW,2009,TV-14,8.0,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8.344
200,The Vampire Diaries,SHOW,2009,TV-14,8.0,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8.344
201,The Vampire Diaries,SHOW,2009,TV-14,8.0,"['drama', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",8.344
