,Title,Type,Release Year,Rating,Duration,Genres,Vote Average
238,Dave Chappelle: Killin' Them Softly,MOVIE,2000,Unknown,58,"['comedy', 'documentation']",8.067
239,The Grand Budapest Hotel,MOVIE,2014,R,99,"['drama', 'comedy', 'european', 'crime']",8.057
240,The Grand Budapest Hotel,MOVIE,2014,R,99,"['drama', 'comedy', 'european', 'crime']",8.057
241,The Grand Budapest Hotel,MOVIE,2014,R,99,"['drama', 'comedy', 'european', 'crime']",8.057
242,The Grand Budapest Hotel,MOVIE,2014,R,99,"['drama', 'comedy', 'european', 'crime']",8.057
243,Late Spring,MOVIE,1949,Unknown,108,['drama'],8.04
244,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
245,The Gold Rush,MOVIE,1942,Unknown,72,"['action', 'comedy', 'drama', 'family']",8.0
246,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
247,The Gold Rush,MOVIE,1942,Unknown,72,"['action', 'comedy', 'drama', 'family']",8.0
248,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
249,The Gold Rush,MOVIE,1942,Unknown,72,"['action', 'comedy', 'drama', 'family']",8.0
250,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
251,The Gold Rush,MOVIE,1942,Unknown,72,"['action', 'comedy', 'drama', 'family']",8.0
252,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
253,The Gold Rush,MOVIE,1942,Unknown,72,"['action', 'comedy', 'drama', 'family']",8.0
254,Which Way Home,MOVIE,2009,Unknown,90,['documentation'],8.029
255,The Wages of Fear,MOVIE,1953,PG-13,153,"['thriller', 'drama', 'european']",8.027
256,The Wages of Fear,MOVIE,1953,PG-13,153,"['thriller', 'drama', 'european']",8.027
257,The Wages of Fear,MOVIE,1953,PG-13,153,"['thriller', 'drama', 'european']",8.027
258,Citizen Kane,MOVIE,1941,PG,119,['drama'],8.022
259,Weathering with You,MOVIE,2019,PG-13,112,"['drama', 'fantasy', 'romance', 'family', 'animation']",8.016
260,Weathering with You,MOVIE,2019,PG-13,112,"['drama', 'fantasy', 'romance', 'family', 'animation']",8.016
261,Weathering with You,MOVIE,2019,PG-13,112,"['drama', 'fantasy', 'romance', 'family', 'animation']",8.016
262,Weathering with You,MOVIE,2019,PG-13,112,"['drama', 'fantasy', 'romance', 'family', 'animation']",8.016
263,Weathering with You,MOVIE,2019,PG-13,112,"['drama', 'fantasy', 'romance', 'family', 'animation']",8.016
264,Autumn Sonata,MOVIE,1978,PG,99,"['drama', 'european', 'music']",8.003
265,Autumn Sonata,MOVIE,1978,PG,99,"['drama', 'european', 'music']",8.003
266,Autumn Sonata,MOVIE,1978,PG,99,"['drama', 'european', 'music']",8.003
267,The Treasure of the Sierra Madre,MOVIE,1948,Unknown,126,"['western', 'drama']",8.002
268,The Treasure of the Sierra Madre,MOVIE,1948,Unknown,126,"['western', 'drama']",8.002
269,"Batman: The Dark Knight Returns, Part 2",MOVIE,2013,PG-13,78,"['thriller', 'scifi', 'action', 'animation']",8.0
270,"Batman: The Dark Knight Returns, Part 2",MOVIE,2013,PG-13,78,"['thriller', 'scifi', 'action', 'animation']",8.0
271,"Batman: The Dark Knight Returns, Part 2",MOVIE,2013,PG-13,78,"['thriller', 'scifi', 'action', 'animation']",8.0
272,"Batman: The Dark Knight Returns, Part 2",MOVIE,2013,PG-13,78,"['thriller', 'scifi', 'action', 'animation']",8.0
273,Culpa,MOVIE,2022,Unknown,7,"['horror', 'drama']",8.0
274,Culpa,MOVIE,2022,Unknown,7,"['horror', 'drama']",8.0
275,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
276,The Gold Rush,MOVIE,1942,Unknown,72,"['action', 'comedy', 'drama', 'family']",8.0
277,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
278,The Gold Rush,MOVIE,1942,Unknown,72,"['action', 'comedy', 'drama', 'family']",8.0
279,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
280,The Gold Rush,MOVIE,1942,Unknown,72,"['action', 'comedy', 'drama', 'family']",8.0
281,The Gold Rush,MOVIE,1925,Unknown,81,"['drama', 'comedy', 'romance', 'western', 'family']",8.03
