,Title,Type,Cast,Release Year,Date Added,Rating,Duration,Genre,Vote Average
983,Wild Nordic,TV Show,Dan Nachtrab,2019,"December 18, 2020",TV-PG,1 Season, Docuseries,4.5
984,Wild Nordic,TV Show,Dan Nachtrab,2019,"December 18, 2020",TV-PG,1 Season, Reality,4.5
985,Turning the Tables with Robin Roberts,TV Show,Robin Roberts,2021,"July 28, 2021",TV-PG,1 Season,Talk Show,3.5
986,Unlikely Animal Friends,TV Show,Mark Keller,2012,"May 1, 2020",TV-G,3 Seasons,Animals & Nature,3.5
987,Unlikely Animal Friends,TV Show,Mark Keller,2012,"May 1, 2020",TV-G,3 Seasons, Docuseries,3.5
988,Unlikely Animal Friends,TV Show,Mark Keller,2012,"May 1, 2020",TV-G,3 Seasons, Family,3.5
989,Wicked Tuna: Outer Banks,TV Show,Bill Ratner,2013,"February 5, 2021",TV-14,7 Seasons,Animals & Nature,3.5
990,Wicked Tuna: Outer Banks,TV Show,Bill Ratner,2013,"February 5, 2021",TV-14,7 Seasons, Docuseries,3.5
991,Wicked Tuna: Outer Banks,TV Show,Bill Ratner,2013,"February 5, 2021",TV-14,7 Seasons, Family,3.5
992,Dr. K's Exotic Animal ER,TV Show,"Dr. Susan Kelleher, Art Edmonds",2014,"August 25, 2021",TV-14,9 Seasons,Animals & Nature,3.0
993,Dr. K's Exotic Animal ER,TV Show,"Dr. Susan Kelleher, Art Edmonds",2014,"August 25, 2021",TV-14,9 Seasons, Docuseries,3.0
994,Dr. K's Exotic Animal ER,TV Show,"Dr. Susan Kelleher, Art Edmonds",2014,"August 25, 2021",TV-14,9 Seasons, Family,3.0
995,The Wild Life of Dr. Ole,TV Show,Unknown,2021,"October 20, 2021",TV-PG,1 Season,Animals & Nature,3.0
996,The Wild Life of Dr. Ole,TV Show,Unknown,2021,"October 20, 2021",TV-PG,1 Season, Reality,3.0
997,Rocky Mountain Animal Rescue,TV Show,Chopper Bernet,2018,"November 12, 2019",TV-PG,1 Season,Animals & Nature,2.0
998,Rocky Mountain Animal Rescue,TV Show,Chopper Bernet,2018,"November 12, 2019",TV-PG,1 Season, Docuseries,2.0
999,Rocky Mountain Animal Rescue,TV Show,Chopper Bernet,2018,"November 12, 2019",TV-PG,1 Season, Family,2.0
1000,Ready for Preschool,TV Show,Unknown,2019,"September 29, 2021",TV-Y,2 Seasons,Kids,2.0
1001,Ready for Preschool,TV Show,Unknown,2019,"September 29, 2021",TV-Y,2 Seasons, Music,2.0
1002,Gathering Storm,TV Show,Tucker McDougall,2020,"October 23, 2020",TV-PG,1 Season,Animals & Nature,2.0
1003,Gathering Storm,TV Show,Tucker McDougall,2020,"October 23, 2020",TV-PG,1 Season, Docuseries,2.0
1004,"Dr. T, Lone Star Vet",TV Show,Dr. Lauren Thielen,2019,"November 12, 2019",TV-PG,1 Season,Docuseries,2.0
1005,"Dr. T, Lone Star Vet",TV Show,Dr. Lauren Thielen,2019,"November 12, 2019",TV-PG,1 Season, Family,2.0
1006,"Dr. T, Lone Star Vet",TV Show,Dr. Lauren Thielen,2019,"November 12, 2019",TV-PG,1 Season, Medical,2.0
1007,Secrets of the Zoo: North Carolina,TV Show,Unknown,2020,"October 13, 2021",TV-14,1 Season,Reality,2.0
1008,Elena of Avalor (Shorts),TV Show,"Aimee Carrero, Jenna Ortega, Maximus Riegel, Gia Lopez, Desmond Gerber, Mick Wingert",2017,"November 12, 2019",TV-Y,2 Seasons,Action-Adventure,2.0
1009,Elena of Avalor (Shorts),TV Show,"Aimee Carrero, Jenna Ortega, Maximus Riegel, Gia Lopez, Desmond Gerber, Mick Wingert",2017,"November 12, 2019",TV-Y,2 Seasons, Animation,2.0
1010,Elena of Avalor (Shorts),TV Show,"Aimee Carrero, Jenna Ortega, Maximus Riegel, Gia Lopez, Desmond Gerber, Mick Wingert",2017,"November 12, 2019",TV-Y,2 Seasons, Fantasy,2.0
