,Title,Type,Country,Director,Cast,Release Year,Rating,Duration,Vote Average
66,Hantu Kak Limah,Movie,Malaysia,Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak",2018,TV-PG,110 min,8.333
67,China Salesman,Movie,China,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",2017,TV-MA,111 min,8.32
68,50/50,Movie,United States,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy",2011,R,100 min,8.3
69,Million Dollar Baby,Movie,United States,Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie, Jay Baruchel, Mike Colter, Lucia Rijker, Brían F. O'Byrne, Margo Martindale, Riki Lindhome",2004,PG-13,133 min,8.3
70,Boogie Nights,Movie,United States,Paul Thomas Anderson,"Mark Wahlberg, Burt Reynolds, Julianne Moore, Heather Graham, William H. Macy, Don Cheadle, Philip Seymour Hoffman, Luis Guzmán, John C. Reilly, Philip Baker Hall",1997,R,155 min,8.281
71,Kasanova,Movie,Nigeria,Oluseyi Asurf,"Wale Ojo, Ireti Doyle, Alvin Abayomi, Toyin Abraham, Ruby Akubueze, Chimezie Imo, Tomiwa Tegbe",2019,TV-14,117 min,8.278
72,Reversing Roe,Movie,United States,Unknown,"Ricki Stern, Annie Sundberg",2018,TV-14,100 min,8.274
73,Homefront,Movie,United States,Gary Fleder,"Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth, Marcus Hester, Clancy Brown, Winona Ryder, Omar Benson Miller, Rachelle Lefevre, Frank Grillo, Chuck Zito, Pruitt Taylor Vince",2013,R,100 min,8.265
74,Eli,Movie,United States,Ciarán Foy,"Charlie Shotwell, Lili Taylor, Kelly Reilly, Max Martini, Sadie Sink, Deneen Tyler, Katia Gomez",2019,TV-MA,98 min,8.261
75,Enter the Warriors Gate,Movie,France,Matthias Hoene,"Jeff Daniels, Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Francis Ng, Ni Ni",2016,PG-13,105 min,8.246
76,Enter the Warriors Gate,Movie, Canada,Matthias Hoene,"Jeff Daniels, Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Francis Ng, Ni Ni",2016,PG-13,105 min,8.246
77,Enter the Warriors Gate,Movie, China,Matthias Hoene,"Jeff Daniels, Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Francis Ng, Ni Ni",2016,PG-13,105 min,8.246
78,Enter the Warriors Gate,Movie, Cambodia,Matthias Hoene,"Jeff Daniels, Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Francis Ng, Ni Ni",2016,PG-13,105 min,8.246
79,Jezebel,Movie,United States,Numa Perrier,"Tiffany Tenille, Numa Perrier, Stephen Barrington, Bobby Field, Rockwelle Dortch, Zoe Tyson, Dennis Jaffee, Jessa Zarubica, RiRia, Charlie Taylor, Amy Aitken, Brett Gelman",2019,TV-MA,86 min,8.24
