,Title,Type,Country,Release Year,Rating,Seasons,Vote Average
201,The Other Two,SHOW,['US'],2019,TV-MA,2.0,7.773
202,Whose Line Is It Anyway?,SHOW,['US'],1998,TV-14,15.0,7.772
203,Kung Fu,SHOW,['US'],2021,TV-14,3.0,7.747
204,The Venture Bros.,SHOW,['US'],2004,TV-MA,7.0,7.747
205,Sharp Objects,SHOW,['US'],2018,TV-MA,1.0,7.743
206,Watchmen,SHOW,['US'],2019,TV-MA,1.0,7.736
207,Super Friends,SHOW,['US'],1973,TV-Y7,9.0,7.731
208,Chuck,SHOW,['US'],2007,TV-14,5.0,7.727
209,The Young Pope,SHOW,['ES',2016,TV-MA,1.0,7.727
210,The Young Pope,SHOW, 'US',2016,TV-MA,1.0,7.727
211,The Young Pope,SHOW, 'FR',2016,TV-MA,1.0,7.727
212,The Young Pope,SHOW, 'IT',2016,TV-MA,1.0,7.727
213,The Young Pope,SHOW, 'GB'],2016,TV-MA,1.0,7.727
214,The Pacific,SHOW,['US'],2010,TV-MA,1.0,7.723
215,All Rise,SHOW,['US'],2019,TV-MA,3.0,7.715
216,Poor Devil,SHOW,['ES'],2023,TV-MA,1.0,7.714
217,Metalocalypse,SHOW,['US'],2006,TV-MA,5.0,7.7
218,Adam Ruins Everything,SHOW,['US'],2015,TV-14,3.0,7.7
219,Sealab 2021,SHOW,['US'],2000,TV-14,5.0,7.7
220,Black Dynamite,SHOW,['US'],2012,TV-MA,2.0,7.7
221,The Zen Diaries of Garry Shandling,SHOW,['US'],2018,TV-MA,1.0,7.7
222,Looney Tunes Cartoons,SHOW,['US'],2020,TV-PG,5.0,7.7
223,Fixer Upper,SHOW,['US'],2013,TV-G,5.0,7.7
224,We Bare Bears,SHOW,['US'],2015,TV-Y7,4.0,7.7
225,Shaq,SHOW,['US'],2022,TV-14,1.0,7.7
226,The Forgotten Valley,SHOW,['BR'],2022,TV-MA,1.0,7.7
227,Mr. Show with Bob and David,SHOW,['US'],1995,TV-MA,4.0,7.7
228,Abbott Elementary,SHOW,['US'],2021,TV-PG,3.0,7.7
229,Julia,SHOW,['US'],2022,Unknown,1.0,7.7
230,A Black Lady Sketch Show,SHOW,['US'],2019,TV-MA,3.0,7.696
231,Angels in America,SHOW,['US'],2003,TV-MA,1.0,7.696
232,Elvis Presley: The Searcher,SHOW,['US'],2018,TV-PG,1.0,7.667
233,The Deuce,SHOW,['US'],2017,TV-MA,3.0,7.665
234,The Alienist,SHOW,['US'],2018,TV-MA,2.0,7.665
235,Superman: The Animated Series,SHOW,['US'],1996,TV-PG,4.0,7.641
236,Blinded by the Lights,SHOW,['PL'],2018,Unknown,1.0,7.64
237,Dexter's Laboratory,SHOW,['US'],1996,TV-G,4.0,7.639
238,The Leftovers,SHOW,['US'],2014,TV-MA,3.0,7.639
239,Insecure,SHOW,['US'],2016,TV-MA,5.0,7.639
240,Doom Patrol,SHOW,['US'],2019,TV-MA,4.0,7.638
241,Atlanta's Missing and Murdered: The Lost Children,SHOW,['US'],2020,TV-MA,1.0,7.636
242,True Blood,SHOW,['US'],2008,TV-MA,7.0,7.63
243,Robot Chicken,SHOW,['US'],2005,TV-MA,11.0,7.625
244,Clarence,SHOW,['US'],2014,TV-PG,3.0,7.622
245,Gotham,SHOW,['US'],2014,TV-14,5.0,7.606
246,Degrassi,SHOW,['CA'],2001,TV-14,14.0,7.601
247,I Know This Much Is True,SHOW,['US'],2020,TV-MA,1.0,7.6
248,That Damn Michael Che,SHOW,['US'],2021,TV-MA,2.0,7.6
249,The Dog House,SHOW,['GB'],2019,TV-Y7,4.0,7.6
250,The New Pope,SHOW,['FR',2020,TV-MA,1.0,7.6
251,The New Pope,SHOW, 'IT',2020,TV-MA,1.0,7.6
252,The New Pope,SHOW, 'GB',2020,TV-MA,1.0,7.6
253,The New Pope,SHOW, 'ES',2020,TV-MA,1.0,7.6
254,The New Pope,SHOW, 'US'],2020,TV-MA,1.0,7.6
255,I May Destroy You,SHOW,['GB',2020,TV-MA,1.0,7.6
256,I May Destroy You,SHOW, 'US'],2020,TV-MA,1.0,7.6
257,Years and Years,SHOW,['GB'],2019,TV-MA,1.0,7.6
258,Murder on Middle Beach,SHOW,['US'],2020,TV-MA,1.0,7.6
259,What's My Name | Muhammad Ali,SHOW,['US'],2019,TV-14,1.0,7.6
260,Full House,SHOW,['US'],1987,TV-G,8.0,7.592
261,Gossip Girl,SHOW,['US'],2007,TV-14,6.0,8.346
262,Gossip Girl,SHOW,['US'],2021,TV-MA,2.0,7.573
263,And Just Like That...,SHOW,['US'],2021,TV-MA,2.0,7.571
264,Superjail!,SHOW,['US'],2008,TV-MA,4.0,7.568
265,Olive Kitteridge,SHOW,['US'],2014,TV-14,1.0,7.563
266,The White Lotus,SHOW,['US'],2021,TV-MA,2.0,7.561
