,Type,Title,Country,Release Year,Rating,Duration,Genres,Vote Average
810,MOVIE,Wings of Desire,"['FR', 'DE']",1993,PG-13,128,"['drama', 'fantasy', 'romance', 'european']",7.806
316,MOVIE,An Autumn Afternoon,['JP'],1962,Unknown,114,['drama'],7.803
49,MOVIE,Brief Encounter,['GB'],1945,Unknown,86,"['drama', 'romance']",7.8
1844,MOVIE,Constantine: City of Demons - The Movie,['US'],2018,R,90,"['animation', 'horror', 'action', 'fantasy']",7.8
1549,MOVIE,Terror at the Mall,[],2014,Unknown,60,"['documentation', 'history']",7.8
852,MOVIE,Porco Rosso,['JP'],1992,PG,94,"['comedy', 'animation', 'fantasy', 'romance']",7.8
192,MOVIE,Ben-Hur,['US'],1959,G,212,"['drama', 'action', 'history']",7.8
505,MOVIE,Misery,['US'],1990,R,107,"['thriller', 'drama']",7.8
2093,MOVIE,Farruko: En letra de otro,"['US', 'PR']",2019,Unknown,47,"['music', 'documentation']",7.8
207,MOVIE,The Bridge on the River Kwai,"['GB', 'US']",1957,PG,156,"['drama', 'war']",7.8
240,MOVIE,Who's Afraid of Virginia Woolf?,['US'],1966,Unknown,131,"['drama', 'european']",7.8
1900,MOVIE,The Emperor's Newest Clothes,['US'],2018,Unknown,26,"['comedy', 'family', 'fantasy', 'animation']",7.8
1738,MOVIE,Scooby-Doo! Moon Monster Madness,['US'],2015,PG,72,['comedy'],7.8
2048,MOVIE,The Art of Political Murder,['US'],2020,PG-13,89,"['documentation', 'crime']",7.8
1748,MOVIE,Rosie O'Donnell: A Heartfelt Stand Up,['US'],2015,Unknown,59,['comedy'],7.8
79,MOVIE,Monsieur Verdoux,['US'],1947,Unknown,119,"['comedy', 'drama', 'crime']",7.8
1457,MOVIE,Mel Brooks and Dick Cavett Together Again,['US'],2011,Unknown,60,['comedy'],7.8
231,MOVIE,Vivre Sa Vie,['FR'],1962,Unknown,84,"['drama', 'european']",7.8
1590,MOVIE,Scooby-Doo! Stage Fright,['US'],2013,PG,75,"['animation', 'thriller']",7.8
968,MOVIE,Before Sunset,['US'],2004,R,80,"['drama', 'romance']",7.8
1898,MOVIE,93Queen,['US'],2018,Unknown,90,['documentation'],7.8
326,MOVIE,Early Summer,['JP'],1951,Unknown,125,['drama'],7.8
1606,MOVIE,Tapia,['US'],2013,Unknown,81,"['documentation', 'sport']",7.8
331,MOVIE,Z,"['DZ', 'FR']",1969,Unknown,127,"['thriller', 'history', 'drama', 'european', 'crime']",7.8
1192,MOVIE,Magic & Bird: A Courtship of Rivals,['US'],2010,Unknown,88,"['drama', 'sport', 'documentation']",7.8
597,MOVIE,Fanny and Alexander,"['SE', 'DE', 'FR']",1982,R,188,"['fantasy', 'drama', 'thriller', 'european']",7.8
1593,MOVIE,Scooby-Doo! Frankencreepy,['US'],2014,PG,74,"['fantasy', 'scifi']",7.8
1434,MOVIE,Scooby-Doo! Music of the Vampire,['US'],2012,G,79,['comedy'],7.8
1808,MOVIE,Jane Fonda in Five Acts,['US'],2018,PG-13,133,['documentation'],7.8
1670,MOVIE,Regular Show: The Movie,['US'],2015,Unknown,70,"['comedy', 'scifi', 'animation', 'action', 'family', 'fantasy']",7.8
1552,MOVIE,The Wind Rises,['JP'],2013,PG-13,126,"['drama', 'war', 'history', 'animation', 'romance']",7.786
1132,MOVIE,Batman: Under the Red Hood,['US'],2010,PG-13,75,"['animation', 'crime', 'action']",7.784
949,MOVIE,Donnie Darko,['US'],2001,R,113,"['drama', 'thriller', 'fantasy', 'scifi']",7.784
