,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
1004,TV Show,Pandemic: How to Prevent an Outbreak,United States,Unknown,Unknown,2020,"January 22, 2020",TV-14,1 Season,"Docuseries, Science & Nature TV",8.7
1385,TV Show,Persona,South Korea,"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan","Lee Ji-eun (IU), Bae Doona, Park Hae Soo, Kim Tae-hun, Shim Dal-gi, Lee Sung-wook, Jung Jun Won",2019,"April 11, 2019",TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",8.682
778,TV Show,Warrior Nun,United States,Unknown,"Alba Baptista, Toya Turner, Lorena Andrea, Kristina Tonteri-Young, Tristán Ulloa",2020,"July 2, 2020",TV-MA,1 Season,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",8.658
338,TV Show,PJ Masks,"France, United Kingdom",Unknown,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley",2019,"April 19, 2021",TV-Y,3 Seasons,Kids' TV,8.644
617,TV Show,Grand Army,United States,Unknown,"Odessa A’zion, Odley Jean, Amir Bageria, Maliq Johnson, Amalia Yoo, Alphonso Romero Jones II, Thelonius Serrell-Freed, Anthony Ippolito, Brian Altemus",2020,"October 16, 2020",TV-MA,1 Season,"TV Dramas, Teen TV Shows",8.63
265,TV Show,Love (ft. Marriage and Divorce),South Korea,Unknown,"Sung Hoon, Lee Tae-gon, Park Joo-mi, Lee Ga-ryoung, Lee Min-young, Jeon No-min, Jeon Soo-kyeong, Lim Hye-young, Song Ji-in, Moon Sung-ho, Roh Joo-hyun, Kim Ameliia, Kim Eung-soo, Lee Jong-nam, Lee Hyo-chun, Jun Hye-won, Lim Han-bin, Park Seo-kyung, Shin Su-ho, Yun Seo-hyun",2021,"June 12, 2021",TV-14,2 Seasons,"International TV Shows, TV Dramas",8.628
1158,TV Show,MONKART,Unknown,Unknown,"Kim Jae-ha, Kwon Ji-hye, Lee Bo-hee, Um Sang-hyun, Jung Yoon-jung, Kim Bo-min, Hong So-young, Hong Bum-ki, Ahn Jang-hyuk",2017,"October 18, 2019",TV-Y7,1 Season,"Kids' TV, Korean TV Shows",8.625
1125,TV Show,Billy on the Street,United States,Unknown,Billy Eichner,2016,"November 1, 2019",TV-14,4 Seasons,"International TV Shows, Reality TV, TV Comedies",8.625
2122,TV Show,El Chavo,Mexico,Unknown,"Roberto Gómez Bolaños, María Antonieta de las Nieves, Carlos Villagrán, Florinda Meza García, Angelines Fernández Abad, Rubén Aguirre Fuentes, Edgar Vivar, Ramón Gómez Valdez de Castillo",1979,"December 31, 2017",TV-PG,1 Season,"Classic & Cult TV, Kids' TV, Spanish-Language TV Shows",8.624
453,TV Show,The Unsettling,United States,Unknown,"Holly Taylor, Tequan Richmond, Willow Shields, An-Li Bogan, Noah Grismer, Alex Lange, David Clayton Rogers, Marguerite Moreau",2019,"February 1, 2021",TV-14,1 Season,"TV Horror, Teen TV Shows",8.6
