,Type,Title,Country,Director,Cast,Release Year,Date Added,Rating,Duration,Genres,Vote Average
1682,Movie,Gumrah,India,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy, Soni Razdan, Reema Lagoo, Kunika, Tom Alter, Bob Christo, Anang Desai",1993,"April 1, 2020",TV-14,149 min,"Action & Adventure, Dramas, International Movies",9.5
3975,Movie,Blaze,United States,Ethan Hawke,"Benjamin Dickey, Alia Shawkat, Josh Hamilton, Charlie Sexton, Sam Rockwell, Wyatt Russell, Steve Zahn, Kris Kristofferson, Richard Linklater, David Kallaway, Ritchie Montgomery",2018,"August 30, 2020",R,129 min,"Dramas, Independent Movies, Music & Musicals",9.333
3195,Movie,The Babysitter,United States,McG,"Samara Weaving, Hana Mae Lee, Judah Lewis, Robbie Amell, Bella Thorne, Andrew Bachelor, Emily Alyn Lind, Leslie Bibb, Ken Marino",2017,"October 13, 2017",TV-MA,85 min,"Comedies, Horror Movies",9.3
3955,Movie,Bigger Fatter Liar,United States,Ron Oliver,"Ricky Garcia, Jodelle Ferland, Barry Bostwick, Fiona Vroom, Kevin O'Grady, Karen Holness",2017,"April 18, 2017",PG,95 min,"Children & Family Movies, Comedies",9.2
2563,Movie,Black Mirror: Bandersnatch,United States,Unknown,"Fionn Whitehead, Will Poulter, Craig Parkinson, Alice Lowe, Asim Chaudhry",2018,"December 28, 2018",TV-MA,312 min,"Dramas, International Movies, Sci-Fi & Fantasy",9.19
2490,Movie,Love Off the Cuff,"China, Hong Kong",Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng",2017,"January 31, 2019",TV-MA,120 min,"Comedies, Dramas, International Movies",9.1
1390,Movie,Oh My God,India,Umesh Shukla,"Akshay Kumar, Paresh Rawal, Mithun Chakraborty, Om Puri, Apoorva Arora, Arun Bali, Honey Chaaya, Poonam Jhawer, Mahesh Manjrekar, Govind Namdeo",2012,"July 5, 2020",TV-PG,129 min,"Comedies, Dramas, International Movies",9.0
3537,Movie,Justin Timberlake + the Tennessee Kids,United States,Jonathan Demme,Justin Timberlake,2016,"October 12, 2016",TV-MA,90 min,Music & Musicals,9.0
3768,Movie,A.M.I.,Canada,Rusty Nixon,"Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius",2019,"October 1, 2020",TV-MA,77 min,Horror Movies,9.0
486,Movie,The Four Seasons,United States,Alan Alda,"Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda",1981,"June 2, 2021",PG,108 min,"Comedies, Romantic Movies",9.0
