,Type,Title,Country,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
753,TV Show,Dexter,US,Unknown,"Michael C. Hall, Jennifer Carpenter, Desmond Harrington, C.S. Lee, Lauren Vélez, David Zayas, James Remar",2013,TV-MA,8 Seasons,"Drama, Suspense",7.8
392,TV Show,Pinkfong! Dinosaur Songs (Spanish Version),GB,Unknown,Unknown,2014,ALL,1 Season,"Animation, Kids",7.8
509,TV Show,Made In Heaven,IN,Unknown,"Shivani Raghuvanshi, Kalki Koechlin, Shashank Arora, Sobhita Dhulipala, Jim Sarbh, Arjun Mathur",2019,16+,1 Season,"Drama, International",7.8
1024,TV Show,Hogu's Love,KR,Unknown,"Choi Woo-Sik, Uee, Im Seul-Ong",2015,13+,1 Season,"Comedy, Drama, Romance",7.8
844,TV Show,Breathe,IN,Unknown,"Amit Sadh, Neena Kulkarni, Sapna Pabbi, Hrishikesh Joshi, R. Madhavan, Shri Swara, Atharva Vishwakarm",2018,16+,1 Season,Drama,7.8
1267,TV Show,Eternal Love of Dream,CN,Unknown,"Dilraba Dilmurat, Vengo Gao, James Li, Lawrence Wang, Yuan Yu Xuan, Fan Zhi Xin",2020,13+,1 Season,"Drama, Romance, Science Fiction",7.8
1234,TV Show,Bite Me,TH,Unknown,"Yousef Abu-Taleb, Justin Giddings, Ryan Welsh, Dani Lennon, Risdon Roberts",2012,TV-MA,1 Season,"Comedy, Horror",7.8
1235,TV Show,Ascension,CA,Unknown,"Brandon P. Bell, Tricia Helfer, Brian Van Holt, Ryan Robbins, Al Sapienza, Tiffany Lonsdale, Andrea Roth, Jacqueline Byers, Ellie O'Brien, PJ Boudousque, Gil Bellows, Lauren Lee Smith",2015,TV-MA,1 Season,"Drama, Science Fiction",7.8
1236,TV Show,Rosemary's Baby,US,Unknown,"Zoe Saldana, Patrick J. Adams",2014,TV-14,1 Season,Drama,7.8
1237,TV Show,Baby Shark's Day at School,US,Unknown,Unknown,2021,TV-G,1 Season,"Animation, Kids",7.8
963,TV Show,A French Village (English subtitled),JP,Unknown,"Thierry Godard, Robin Renucci, Audrey Fleurot, Fabrizio Rongione, Richard Sammel",2013,16+,3 Seasons,TV Shows,7.8
1257,TV Show,Himote House,JP,Unknown,"Suzaki Aya, Akesaka Satomi, Mimori Suzuko, Mizuhara Koru, Uesaka  Sumire, Nishi Asuka",2018,13+,1 Season,Animation,7.8
964,TV Show,A Difficult Woman,AU,Unknown,"Caroline Goodall, Peter Feeney, Martin Jacobs",1998,16+,1 Season,"Drama, Suspense",7.8
1007,TV Show,Word of Honor,CN,Unknown,"Zhehan Zhang, Jun Gong, Ye Zhou, Wenyuan Ma, Xilun Sun, Le Jin",2021,18+,2 Seasons,"Action, Drama, Romance",7.792
1032,TV Show,Rainbow Rangers,US,Unknown,"Aileen Mythen, Penelope Rawlins, Juliette Crosbie",2019,7+,1 Season,"Action, Animation, Kids",7.788
1406,TV Show,My Magic Pet Morphle - Adventures of Mila & Morphle,DE,Unknown,Unknown,2021,ALL,14 Seasons,"Animation, Kids",7.775
1408,TV Show,Gamma smoke test,JP,Unknown,Unknown,2020,ALL,1 Season,Action,7.775
211,TV Show,The American Civil War: A Union Divided,Unknown,Unknown,Unknown,2019,18+,1 Season,"Documentary, Special Interest",7.773
1294,TV Show,Def Comedy Jam,US,Unknown,"Steve Harvey, Kid Capri, James Hannah, Jack Shepherd, Chinnitta Morris (Chocolate)",1992,TV-MA,7 Seasons,"Arts, Entertainment, and Culture, Comedy",7.771
922,TV Show,American Pickers,US,Unknown,"Mike Wolfe, Frank Fritz, Danielle Colby-Cushman",2010,TV-PG,1 Season,TV Shows,7.769
23,TV Show,Wonders of Mexico,GB,Unknown,Anthony Mendez,2018,TV-G,1 Season,"Documentary, Special Interest",7.763
1287,TV Show,Pequeñas Victorias,GB,Unknown,Unknown,2021,TV-PG,1 Season,Drama,7.759
460,TV Show,My Mother and Other Strangers,GB,Unknown,"Hattie Morahan, Owen McDonnell, Aaron Staton, Antonia Campbell-Hughes, Corey Cott, Gavin Drea, Seamus O'Hara, Eileen O'Higgins, Kerr Logan, Des McAleer, Ryan McParland, Michael Nevin, Fiona O'Shaughnessy",2017,13+,1 Season,"Drama, Historical",7.745
722,TV Show,Fake or Fortune,GB,Unknown,"Fiona Bruce, Philip Mould",2014,13+,3 Seasons,TV Shows,7.73
140,TV Show,The Neighbors [English Subtitled],US,Unknown,"Bracha van Doesburgh, Daan Schuurmans, Thijs Römer, Karina Smulders, Fedja van Huêt, Anneke Blok, Hannah van Lunteren, Leopold Witte",2016,TV-NR,2 Seasons,"Drama, Suspense",7.726
145,TV Show,The Moonstone,GB,Unknown,"John Thomson, Sarah Hadland, Terenia Edwards, Joshua Silver, Sophie Ward, Stewart Clarke, Leo Wringer",2016,TV-PG,1 Season,"Drama, Suspense",7.726
149,TV Show,The Men Who Built America,US,Unknown,"Matt Boliek, John C. Bailey",2014,TV-PG,1 Season,"Documentary, Special Interest",7.726
309,TV Show,Scaredy Squirrel,CA,Unknown,"Terry McGurrin, Jonathan Gould, Pat McKenna, Linda Kash, Jayne Eastwood, David Berni, Jamie Watson, Dwayne Hill",2012,TV-G,4 Seasons,"Animation, Kids",7.716
615,TV Show,Howards End,GB,Unknown,"Hayley Atwell, Philippa Coulthard, Matthew Macfadyen, Alex Lawther, Joe Bannister, Donna Banya, Tracey Ullman, Bessie Carter, Joseph Quinn, Rosalind Eleazar",2018,TV-14,1 Season,"Drama, Special Interest",7.71
197,TV Show,The Challenge: ETA,ES,Unknown,Unknown,2020,16+,1 Season,Documentary,7.7
229,TV Show,Take Us Home: Leeds United,GB,Unknown,"Russell Crowe, Andrea Radrizanni, Marcelo Bielsa, Victor Orta, Angus Kinnear, Liam Cooper, Luke Ayling, Kalvin Phillips, Patrick Bamford, Nikolaj Coster-Waldau, Ralph Ineson, Josh Warrington, James Mooney",2020,16+,2 Seasons,TV Shows,7.652
230,TV Show,Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,JP,Unknown,Unknown,2017,TV-14,1 Season,"Action, Anime, Fantasy",7.652
371,TV Show,Pramface,GB,Unknown,"Sean Michael Verey, Scarlett Alice Johnson, Angus Deayton, Anna Chancellor",2014,TV-14,3 Seasons,"Comedy, Young Adult Audience",7.624
370,TV Show,Preachers' Daughters,US,Unknown,"Audrey Perry, Cheryl Perry",2013,TV-PG,1 Season,"Drama, Unscripted",7.624
921,TV Show,American Playboy,US,Unknown,"Hugh Hefner, Matt Whelan",2017,18+,1 Season,"Documentary, Drama, Special Interest",7.621
490,TV Show,Megastructures Dubai,GB,Unknown,Ian Miche,2016,7+,1 Season,"Documentary, Special Interest",7.611
1365,TV Show,Clip: ACT 2 - Series 5,US,Unknown,1,2021,ALL,1 Season,TV Shows,7.606
64,TV Show,Truth Seekers,GB,Unknown,"Nick Frost, Malcolm McDowell, Samson Kayo, Susan Wokoma, Emma D'Arcy, Simon Pegg",2020,16+,1 Season,Comedy,7.602
923,TV Show,American High School,US,Unknown,Unknown,2016,13+,1 Season,"Documentary, Unscripted",7.6
446,TV Show,Nursery Rhymes and Kids Songs by KiiYii (Made by Little Baby Bum),US,Unknown,Unknown,2019,ALL,5 Seasons,Kids,7.6
313,TV Show,Rubbadubbers,GB,Unknown,"John Gordon Sinclair, Sean Hughes, Maria Darling",2005,TV-Y,4 Seasons,Kids,7.6
61,TV Show,UFO Files,US,Unknown,"Burton Richardson, Stanton Friedman",2004,TV-PG,1 Season,"Horror, Suspense",7.6
1259,TV Show,The Sneaker Game,US,Unknown,Randie Graves,2021,18+,1 Season,"Special Interest, Unscripted",7.6
605,TV Show,I Shouldn't Be Alive,US,Unknown,Eric Meyers,2010,13+,3 Seasons,"Documentary, Drama",7.6
938,TV Show,All or Nothing: The Michigan Wolverines,US,Unknown,Mark Harmon,2018,16+,1 Season,"Sports, Unscripted",7.6
216,TV Show,The A Word,GB,Unknown,"Christopher Eccleston, Lee Ingleby, Morven Christie, Greg McHugh, Vinette Robinson, Max Vento",2016,TV-NR,2 Seasons,Drama,7.6
965,TV Show,99 Days With the Superstar,JP,Unknown,"Hidetoshi Nishijima, Jun Kaname, Kim Tae-hee, Taecyeon",2011,13+,1 Season,"Comedy, Romance",7.591
907,TV Show,Anonymous Noise,JP,Unknown,Unknown,2017,TV-14,1 Season,"Anime, Drama, International",7.59
