,Type,Title,Country,Release Year,Rating,Seasons,Genres,Vote Average
322,SHOW,Hot Streets,['US'],2018,TV-MA,2.0,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",8.0
12,SHOW,The Fresh Prince of Bel-Air,['US'],1990,TV-PG,6.0,"['comedy', 'drama']",8.0
426,SHOW,Miss S,['CN'],2020,Unknown,1.0,['drama'],8.0
88,SHOW,Chappelle's Show,['US'],2003,TV-14,3.0,"['comedy', 'music']",8.0
334,SHOW,His Dark Materials,['GB'],2019,TV-14,3.0,"['scifi', 'drama', 'family', 'fantasy']",7.993
416,SHOW,Scooby-Doo and Guess Who?,['US'],2019,TV-PG,3.0,"['comedy', 'thriller', 'animation', 'crime', 'family', 'fantasy']",7.992
521,SHOW,Pretty Little Liars: Original Sin,['US'],2022,TV-MA,1.0,"['drama', 'romance', 'thriller']",7.991
392,SHOW,Adventure Time: Distant Lands,['US'],2020,TV-PG,1.0,"['action', 'family', 'fantasy', 'animation', 'comedy', 'thriller', 'scifi']",7.978
470,SHOW,It's a Sin,['GB'],2021,TV-MA,1.0,"['comedy', 'drama', 'history', 'thriller', 'horror']",7.977
111,SHOW,Generation Kill,['US'],2008,TV-MA,1.0,"['war', 'drama', 'action']",7.969
359,SHOW,Warrior,['US'],2019,TV-MA,2.0,"['action', 'crime', 'drama', 'history']",7.961
206,SHOW,Banshee,['US'],2013,TV-MA,4.0,"['drama', 'thriller', 'action', 'crime']",7.953
376,SHOW,Nancy Drew,['US'],2019,TV-14,4.0,"['drama', 'scifi', 'horror', 'fantasy']",7.946
459,SHOW,Tokyo Vice,['US'],2022,TV-MA,1.0,"['drama', 'thriller', 'crime']",7.942
94,SHOW,Rizzoli & Isles,['US'],2010,TV-14,7.0,"['drama', 'crime']",7.932
239,SHOW,The Night Of,['US'],2016,TV-MA,1.0,"['thriller', 'drama', 'crime']",7.925
204,SHOW,Last Week Tonight with John Oliver,['US'],2014,TV-MA,10.0,"['comedy', 'reality', 'history']",7.924
211,SHOW,The Knick,['US'],2014,TV-MA,2.0,"['drama', 'history']",7.923
179,SHOW,Off the Air,['US'],2011,TV-MA,12.0,"['scifi', 'animation', 'comedy', 'horror', 'music']",7.917
81,SHOW,Pushing Daisies,['US'],2007,TV-PG,2.0,"['scifi', 'comedy', 'drama', 'romance', 'fantasy']",7.91
